Instância,K-trimmed,,,,K-centrum,,,,Hurwicz,,,
200.1,7.1343,4.2547,7.0233,4.2913,7.0270,4.3367,7.0573,4.5117,7.0770,4.4927,7.1030,4.7120
200.2,7.0757,4.3060,6.9930,4.3193,6.9880,4.5090,7.0990,4.4250,6.9927,4.3027,7.0173,4.4883
200.3,7.0587,4.3437,7.1177,4.3320,7.1707,4.3020,7.1050,4.5260,7.1473,4.3133,7.0710,4.8243
300.1,11.3757,7.8880,11.1407,7.8453,11.4723,7.8893,11.4353,7.9720,11.3120,8.0433,11.2683,7.9340
300.2,11.2967,7.9683,11.2813,8.0533,11.3300,7.9670,11.2270,7.9887,11.1893,8.0717,11.3140,8.2840
300.3,11.2707,7.8620,11.4030,8.1043,11.4017,7.7127,11.3817,8.0040,11.3120,7.8727,11.4703,7.9247
400.1,15.3253,11.8277,14.9793,12.2000,15.0557,12.1800,15.2510,12.4060,14.9033,12.3393,14.9427,12.7033
400.2,14.8810,11.9997,15.1950,12.3117,15.3013,12.0237,15.3870,12.1207,15.0510,12.3873,14.9463,12.6363
400.3,15.2513,12.2200,15.1460,12.4787,15.3570,12.3617,15.3940,12.2443,15.2190,12.3647,15.1200,13.0240
500.1,19.8193,17.1963,19.1893,17.7007,19.7367,17.3727,19.3683,17.7223,19.1580,17.9453,19.0607,18.3453
500.2,19.8510,17.1057,19.4317,17.6150,19.6123,17.4690,19.4373,17.8607,18.8667,18.0113,18.7937,18.7497
500.3,19.7993,16.9177,19.7160,17.3240,19.3793,17.2847,19.1210,19.0313,19.4413,17.5527,19.0780,19.0520
600.1,24.4813,23.1870,23.7467,23.6407,24.2463,23.8377,23.1193,24.6013,23.1773,23.7650,23.5183,23.8253
600.2,23.6120,23.3933,24.1983,23.8970,24.5250,23.6677,23.3220,24.2240,23.9360,24.0743,23.1913,24.4737
600.3,24.4957,22.7787,24.3897,23.3133,24.4717,23.6413,24.1620,23.8717,23.7670,23.6453,23.6297,25.1453
700.1,28.5227,30.4277,27.8397,31.1857,29.3217,30.5467,27.5723,31.7450,27.2797,31.1163,28.2373,31.3307
700.2,29.4977,29.9253,29.3540,30.7407,27.7730,31.1013,29.4153,30.8950,27.8393,31.0060,27.7813,31.6263
700.3,29.5087,30.2647,29.4843,30.5367,29.5750,30.5827,29.4843,31.0060,28.9660,30.5433,28.8707,30.6767
800.1,36.1937,39.1880,35.0880,39.4027,34.6723,39.2913,35.8740,39.5243,34.7317,39.5453,33.9873,40.1077
800.2,36.3393,38.6127,33.5083,39.8040,36.3420,39.1517,35.3070,39.2933,34.1650,39.9633,34.5010,40.5540
800.3,36.3620,39.0093,35.5947,38.7993,36.3903,38.9363,35.8873,39.7253,35.7937,39.7093,35.3597,39.7093
900.1,41.8490,47.0213,41.5257,48.3327,39.0680,48.2570,38.7657,48.7653,39.0233,47.6847,39.6090,49.5350
900.2,41.9110,46.7703,41.0210,47.9140,42.1137,47.8523,39.7103,49.2053,40.7347,47.7487,38.9953,49.1460
900.3,41.9400,47.2227,41.7863,47.4170,40.6400,47.7773,41.9843,48.2260,40.9220,48.8253,40.6330,48.2653
1000.1,46.1513,57.2200,43.2717,58.0470,47.5683,57.2063,43.1937,59.1443,44.6927,58.1133,44.2130,58.4193
1000.2,46.9103,57.6360,45.7567,57.4610,47.6157,57.3593,43.7637,58.5380,44.9177,57.6890,44.9007,59.1843
1000.3,47.4383,56.4777,45.6210,57.8913,45.3800,57.0933,46.8353,58.6757,45.6707,58.3293,45.0177,61.0083
