Instance,correlated,,,,,,,,,anticorrelated,,,,,,,,
10.3,2.0E+04,38.11s ,172.25,1.5E+04,13.19s ,172.25,1.5E+04,16.07s ,172.25,4.9E+04,77.07s ,237.67,6.3E+05,564.67s ,237.67,9.0E+05,1547.77s ,237.67
15.1,9.1E+05,28.93 %,524.57,2.4E+05,35.05 %,493.14,2.6E+05,43.97 %,494.14,4.7E+05,39.13 %,593.50,4.2E+05,28.93 %,553.00,5.2E+05,29.85 %,559.50
15.2,8.3E+05,20.19 %,385.00,1.6E+06,28.12 %,377.50,1.6E+06,29.33 %,378.50,8.1E+05,31.53 %,523.71,1.9E+05,36.02 %,502.14,1.1E+06,39.23 %,494.86
15.3,2.4E+05,651.58s ,208.00,8.6E+05,1661.09s ,208.00,1.7E+06,0.24 %,208.00,1.1E+06,20.02 %,370.67,4.4E+05,23.38 %,370.67,3.9E+05,26.53 %,370.67
20.1,3.8E+05,29.22 %,618.00,1.2E+05,49.91 %,617.71,1.5E+05,51.72 %,620.43,2.6E+05,43.14 %,831.00,2.9E+05,36.86 %,780.00,3.4E+05,36.24 %,781.00
20.2,3.8E+05,19.32 %,420.83,2.2E+05,24.55 %,415.50,7.7E+05,24.97 %,415.17,4.8E+05,32.31 %,690.86,7.2E+04,52.47 %,686.43,4.3E+05,42.81 %,683.14
20.3,7.3E+05,12.97 %,221.00,6.7E+05,14.97 %,220.50,8.6E+05,14.06 %,220.50,3.7E+05,25.21 %,514.00,1.5E+05,28.37 %,502.83,1.6E+05,29.20 %,502.83
25.1,2.2E+05,36.17 %,759.17,1.3E+05,44.08 %,745.17,1.3E+05,46.02 %,743.84,2.7E+05,37.23 %,906.00,7.6E+04,59.65 %,895.00,9.3E+04,65.17 %,898.29
25.2,2.1E+05,29.09 %,608.25,1.9E+05,30.05 %,599.00,2.1E+05,30.40 %,596.25,2.8E+05,37.94 %,854.34,1.2E+05,46.90 %,847.84,1.1E+05,46.84 %,853.67
25.3,2.9E+05,18.20 %,298.50,3.1E+05,12.69 %,295.50,1.0E+06,13.03 %,295.50,2.1E+05,40.42 %,791.25,1.0E+04,45.74 %,782.75,3.9E+05,41.52 %,781.50
30.1,1.6E+05,35.54 %,890.00,8.5E+04,52.73 %,892.67,1.3E+05,50.54 %,902.50,1.7E+05,38.66 %,1080.28,1.9E+05,60.17 %,1114.43,7.1E+04,68.21 %,1069.57
30.2,1.6E+05,35.04 %,708.75,1.6E+05,32.77 %,701.00,3.0E+05,33.78 %,702.25,1.8E+05,41.42 %,1062.50,1.2E+05,47.50 %,1057.17,7.6E+04,51.20 %,1045.84
30.3,2.1E+05,29.46 %,347.50,1.6E+05,20.35 %,339.00,2.1E+05,20.06 %,339.00,1.5E+05,54.86 %,900.25,1.3E+05,38.70 %,895.25,1.3E+05,40.39 %,895.75
35.1,1.2E+05,38.86 %,1071.17,7.2E+04,56.27 %,1044.17,7.9E+04,58.42 %,1055.50,1.1E+05,41.18 %,1280.17,7.6E+04,59.63 %,1258.84,6.7E+04,62.02 %,1249.67
35.2,1.1E+05,39.20 %,844.50,1.4E+05,34.05 %,843.00,1.1E+05,31.39 %,814.00,1.0E+05,49.97 %,1365.00,9.9E+04,42.58 %,1325.75,1.3E+05,43.97 %,1340.75
35.3,1.4E+05,22.55 %,329.29,1.3E+05,43.82 %,333.86,1.4E+05,44.86 %,329.29,1.9E+05,48.98 %,1649.00,4.8E+04,46.44 %,1636.50,4.1E+04,46.67 %,1639.00
40.1,8.8E+04,42.50 %,1237.75,1.1E+05,40.22 %,1182.25,9.2E+04,38.06 %,1152.00,6.8E+04,44.54 %,1535.34,4.6E+04,66.18 %,1478.00,5.4E+04,68.11 %,1458.17
40.2,8.6E+04,41.87 %,977.00,4.1E+04,35.68 %,953.00,6.0E+04,34.07 %,933.50,6.7E+04,51.09 %,1612.75,7.1E+04,44.66 %,1593.75,5.6E+04,45.16 %,1573.25
40.3,9.8E+04,27.21 %,340.14,8.1E+04,46.85 %,340.57,6.7E+04,54.27 %,340.86,7.2E+04,71.34 %,1893.00,3.8E+04,47.45 %,1873.50,1.2E+04,47.97 %,1883.50
45.1,6.2E+04,40.88 %,1397.00,3.6E+04,35.70 %,1339.00,4.0E+04,35.84 %,1338.00,7.3E+04,46.32 %,1789.00,3.9E+04,48.68 %,1633.25,7.8E+04,43.45 %,1644.25
45.2,7.1E+04,37.93 %,998.71,7.2E+04,61.24 %,982.14,7.1E+04,71.59 %,987.71,5.8E+04,57.35 %,2014.00,2.9E+04,45.51 %,1915.00,4.4E+04,44.47 %,1898.00
45.3,8.0E+04,29.52 %,412.33,1.0E+05,35.74 %,402.00,9.4E+04,42.18 %,402.67,7.1E+04,38.97 %,958.29,7.8E+04,50.92 %,952.71,5.5E+04,51.67 %,956.57
50.1,4.3E+04,42.15 %,1506.00,2.4E+04,37.33 %,1440.00,3.5E+04,37.00 %,1442.00,4.4E+04,45.45 %,1876.50,2.0E+04,42.52 %,1794.50,1.2E+04,41.24 %,1778.50
50.2,5.6E+04,39.75 %,1092.14,5.5E+04,64.60 %,1069.28,5.5E+04,70.67 %,1084.71,5.2E+04,41.86 %,1607.86,3.5E+04,68.23 %,1576.71,3.0E+04,69.19 %,1590.14
50.3,5.2E+04,31.02 %,473.75,9.2E+04,28.74 %,469.75,8.8E+04,28.89 %,470.75,4.9E+04,45.27 %,1186.34,4.6E+04,48.53 %,1169.50,1.0E+04,59.15 %,1203.67
100.1,5.6E+03,47.09 %,2839.00,4.8E+03,81.13 %,2662.00,4.9E+03,76.18 %,2622.00,5.3E+03,48.39 %,3622.67,4.4E+03,82.63 %,3471.51,5.6E+03,84.27 %,3404.67
100.2,4.9E+03,46.83 %,2062.00,4.7E+03,47.70 %,1980.00,4.8E+03,48.55 %,1997.00,5.3E+03,69.97 %,5620.50,4.1E+03,48.97 %,4139.00,5.6E+03,56.04 %,4199.00
100.3,6.0E+03,38.40 %,772.29,4.1E+03,89.99 %,770.86,4.7E+03,90.52 %,781.86,5.3E+03,47.09 %,2113.28,7.8E+02,69.00 %,2196.57,5.8E+03,75.60 %,2309.00
200.1,3.8E+02,58.03 %,5256.18,—,88.25 %,5073.51,—,96.19 %,10580.00,2.9E+03,—,—,—,78.29 %,6939.25,—,92.08 %,10352.00
200.2,3.1E+03,—,—,—,70.14 %,3685.50,—,75.72 %,3708.50,1.8E+02,54.16 %,5935.14,—,85.00 %,8438.99,—,94.41 %,10508.00
200.3,4.2E+02,58.07 %,1406.34,—,91.05 %,1414.50,—,98.83 %,9892.02,8.3E+01,84.64 %,11678.20,—,75.90 %,9816.00,—,86.26 %,8612.25
300.1,—,73.90 %,7566.42,—,—,—,—,98.33 %,17582.00,—,—,—,—,—,—,—,97.22 %,17425.00
300.2,—,—,—,—,92.03 %,5649.00,—,98.50 %,13993.00,—,—,—,—,—,—,—,91.65 %,17837.00
300.3,—,76.76 %,2131.00,—,96.03 %,2022.84,—,99.98 %,16798.00,—,65.30 %,6656.01,—,—,—,—,95.25 %,16947.00
400.1,—,—,—,—,99.74 %,9150.00,—,—,20988.00,—,—,—,—,—,—,—,99.94 %,13035.30
400.2,—,99.48 %,6854.56,—,99.92 %,6749.71,—,99.92 %,7032.99,—,—,—,—,—,—,—,99.96 %,20195.00
400.3,—,99.44 %,2618.28,—,99.90 %,2551.57,—,99.99 %,19998.00,—,—,—,—,—,—,—,99.96 %,20045.00
500.1,—,—,—,—,—,—,—,—,24895.00,—,—,—,—,—,—,—,—,25116.10
500.2,—,—,—,—,—,—,—,—,24970.00,—,—,—,—,—,—,—,—,24670.50
500.3,—,—,—,—,—,—,—,—,24377.00,—,—,—,—,—,—,—,—,24792.00
600.1,—,—,—,—,—,—,—,—,30949.10,—,—,—,—,—,—,—,—,31096.00
600.2,—,—,—,—,—,—,—,—,30972.00,—,—,—,—,—,—,—,—,31256.00
600.3,—,—,—,—,—,—,—,—,29438.00,—,—,—,—,—,—,—,—,30596.00
700.1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,35871.00
700.2,—,—,—,—,—,—,—,—,35912.00,—,—,—,—,—,—,—,—,35411.00
700.3,—,—,—,—,—,—,—,—,34334.00,—,—,—,—,—,—,—,—,35954.10
